"March 05, 2017 at 07:42AM",Light Rain,72 F,22 C,"https://www.wunderground.com/cgi-bin/findweather/getForecast?query=-31.772,-52.342&par=ifttt&cm_ven=ifttt",http://ifttt.com/images/weather/drizzle.png
"March 09, 2017 at 04:45AM",Rain Shower,75 F,24 C,"https://www.wunderground.com/cgi-bin/findweather/getForecast?query=-31.772,-52.342&par=ifttt&cm_ven=ifttt",http://ifttt.com/images/weather/drizzle.png
"March 09, 2017 at 01:20PM",Thunder,81 F,27 C,"https://www.wunderground.com/cgi-bin/findweather/getForecast?query=-31.772,-52.342&par=ifttt&cm_ven=ifttt",http://ifttt.com/images/weather/heavy-rain.png
"March 09, 2017 at 03:45PM",Light Rain with Thunder,79 F,26 C,"https://www.wunderground.com/cgi-bin/findweather/getForecast?query=-31.772,-52.342&par=ifttt&cm_ven=ifttt",http://ifttt.com/images/weather/lightning.png
"March 09, 2017 at 07:15PM",Light Rain,75 F,24 C,"https://www.wunderground.com/cgi-bin/findweather/getForecast?query=-31.772,-52.342&par=ifttt&cm_ven=ifttt",http://ifttt.com/images/weather/drizzle.png
"March 09, 2017 at 09:45PM",Rain,79 F,26 C,"https://www.wunderground.com/cgi-bin/findweather/getForecast?query=-31.772,-52.342&par=ifttt&cm_ven=ifttt",http://ifttt.com/images/weather/heavy-rain.png
"March 11, 2017 at 10:11PM",Light Rain,72 F,22 C,"https://www.wunderground.com/cgi-bin/findweather/getForecast?query=-31.772,-52.342&par=ifttt&cm_ven=ifttt",http://ifttt.com/images/weather/drizzle.png
"March 11, 2017 at 11:51PM",Rain Shower,72 F,22 C,"https://www.wunderground.com/cgi-bin/findweather/getForecast?query=-31.772,-52.342&par=ifttt&cm_ven=ifttt",http://ifttt.com/images/weather/drizzle.png
"March 12, 2017 at 07:46AM",Light Rain,70 F,21 C,"https://www.wunderground.com/cgi-bin/findweather/getForecast?query=-31.772,-52.342&par=ifttt&cm_ven=ifttt",http://ifttt.com/images/weather/drizzle.png
"March 15, 2017 at 11:35PM",Rain,75 F,24 C,"https://www.wunderground.com/cgi-bin/findweather/getForecast?query=-31.772,-52.342&par=ifttt&cm_ven=ifttt",http://ifttt.com/images/weather/heavy-rain.png
"March 16, 2017 at 01:05AM",Rain,75 F,24 C,"https://www.wunderground.com/cgi-bin/findweather/getForecast?query=-31.772,-52.342&par=ifttt&cm_ven=ifttt",http://ifttt.com/images/weather/heavy-rain.png
"March 24, 2017 at 05:09PM",Thunder,76 F,24 C,"https://www.wunderground.com/cgi-bin/findweather/getForecast?query=-31.772,-52.342&par=ifttt&cm_ven=ifttt",http://ifttt.com/images/weather/heavy-rain.png
"March 25, 2017 at 05:09AM",Rain Shower,67 F,19 C,"https://www.wunderground.com/cgi-bin/findweather/getForecast?query=-31.772,-52.342&par=ifttt&cm_ven=ifttt",http://ifttt.com/images/weather/drizzle.png
"March 26, 2017 at 09:41PM",Light Rain,71 F,22 C,"https://www.wunderground.com/cgi-bin/findweather/getForecast?query=-31.772,-52.342&par=ifttt&cm_ven=ifttt",http://ifttt.com/images/weather/drizzle.png
"March 27, 2017 at 03:16AM",Rain Shower,72 F,22 C,"https://www.wunderground.com/cgi-bin/findweather/getForecast?query=-31.772,-52.342&par=ifttt&cm_ven=ifttt",http://ifttt.com/images/weather/drizzle.png
"April 05, 2017 at 07:16AM",Rain Shower,69 F,21 C,"https://www.wunderground.com/cgi-bin/findweather/getForecast?query=-31.772,-52.342&par=ifttt&cm_ven=ifttt",http://ifttt.com/images/weather/drizzle.png
"April 07, 2017 at 11:27PM",Rain Shower,73 F,23 C,"https://www.wunderground.com/cgi-bin/findweather/getForecast?query=-31.772,-52.342&par=ifttt&cm_ven=ifttt",http://ifttt.com/images/weather/drizzle.png
"April 09, 2017 at 11:27PM",Rain,75 F,24 C,"https://www.wunderground.com/cgi-bin/findweather/getForecast?query=-31.772,-52.342&par=ifttt&cm_ven=ifttt",http://ifttt.com/images/weather/heavy-rain.png
"April 10, 2017 at 08:28AM",Light Rain,74 F,23 C,"https://www.wunderground.com/cgi-bin/findweather/getForecast?query=-31.772,-52.342&par=ifttt&cm_ven=ifttt",http://ifttt.com/images/weather/drizzle.png
"April 10, 2017 at 11:27AM",Light Rain with Thunder,76 F,24 C,"https://www.wunderground.com/cgi-bin/findweather/getForecast?query=-31.772,-52.342&par=ifttt&cm_ven=ifttt",http://ifttt.com/images/weather/lightning.png
"April 10, 2017 at 05:51PM",Light Rain,77 F,25 C,"https://www.wunderground.com/cgi-bin/findweather/getForecast?query=-31.772,-52.342&par=ifttt&cm_ven=ifttt",http://ifttt.com/images/weather/drizzle.png
"April 10, 2017 at 09:36PM",Light Rain,71 F,22 C,"https://www.wunderground.com/cgi-bin/findweather/getForecast?query=-31.772,-52.342&par=ifttt&cm_ven=ifttt",http://ifttt.com/images/weather/drizzle.png
"April 15, 2017 at 01:56AM",Light Rain,63 F,17 C,"https://www.wunderground.com/cgi-bin/findweather/getForecast?query=-31.772,-52.342&par=ifttt&cm_ven=ifttt",http://ifttt.com/images/weather/drizzle.png
"April 15, 2017 at 03:51PM",Light Rain,70 F,21 C,"https://www.wunderground.com/cgi-bin/findweather/getForecast?query=-31.772,-52.342&par=ifttt&cm_ven=ifttt",http://ifttt.com/images/weather/drizzle.png
"April 16, 2017 at 05:56AM",Rain Shower,65 F,18 C,"https://www.wunderground.com/cgi-bin/findweather/getForecast?query=-31.772,-52.342&par=ifttt&cm_ven=ifttt",http://ifttt.com/images/weather/drizzle.png
